Song_correct;Artist_correct;Song_concat;YT_link
wszystko jest na sprzedaz;de mono;wszystko jest na sprzedaz de mono;https://www.youtube.com/watch?v=QaInn1LNcLQ
wszystko na sprzedaz;de mono;wszystko na sprzedaz de mono;https://www.youtube.com/watch?v=QaInn1LNcLQ
znowu zwykly dzien;de mono;znowu zwykly dzien de mono;https://www.youtube.com/watch?v=I8Y053_VdMA
znow jestes ze mna;de mono;znow jestes ze mna de mono;https://www.youtube.com/watch?v=NBQcZ2DCtWI
zyj tylko chwila;de mono;zyj tylko chwila de mono;https://www.youtube.com/watch?v=eFqY_TmR5iU
bo jo cie kochom;de press;bo jo cie kochom de press;https://www.youtube.com/watch?v=TeidgnqxWBA
zycie cudem jest;de su;zycie cudem jest de su;https://www.youtube.com/watch?v=3LHBg5rgiI4
you spin me round ;dead or alive;you spin me round  dead or alive;https://www.youtube.com/watch?v=PGNiXGX2nLU
arrivederci roma;dean martin;arrivederci roma dean martin;https://www.youtube.com/watch?v=-Gz07QiFevg
everybody loves somebody;dean martin;everybody loves somebody dean martin;https://www.youtube.com/watch?v=z-2_OstpR5c
let it snow;dean martin;let it snow dean martin;https://www.youtube.com/watch?v=mN7LW0Y00kE
luna mezzo mare;dean martin;luna mezzo mare dean martin;https://www.youtube.com/watch?v=yb2KwewOBEA
mambo italiano;dean martin;mambo italiano dean martin;https://www.youtube.com/watch?v=jAQQ1Vlk1nE
release me;dean martin;release me dean martin;https://www.youtube.com/watch?v=hf9Y_NEk3hI
return to me;dean martin;return to me dean martin;https://www.youtube.com/watch?v=EpBjgQlT_jA
sway;dean martin;sway dean martin;https://www.youtube.com/watch?v=DXq-XdyGehk
that's amore;dean martin;that's amore dean martin;https://www.youtube.com/watch?v=OnFlx2Lnr9Q
good morning;debbie reynolds & gene kelly & donald o connor;good morning debbie reynolds & gene kelly & donald o connor;https://www.youtube.com/watch?v=GB2yiIoEtXw
black night;deep purple;black night deep purple;https://www.youtube.com/watch?v=QuAKMlfxX7I
bloodsucker;deep purple;bloodsucker deep purple;https://www.youtube.com/watch?v=6LGtYLpUs4w
child in time;deep purple;child in time deep purple;https://www.youtube.com/watch?v=PfAWReBmxEs
highway star;deep purple;highway star deep purple;https://www.youtube.com/watch?v=Wr9ie2J2690
perfect strangers;deep purple;perfect strangers deep purple;https://www.youtube.com/watch?v=gZ_kez7WVUU
smoke on the water;deep purple;smoke on the water deep purple;https://www.youtube.com/watch?v=zUwEIt9ez7M
soldier of fortune ;deep purple;soldier of fortune  deep purple;https://www.youtube.com/watch?v=AjIL2BemqBY
space truckin;deep purple;space truckin deep purple;https://www.youtube.com/watch?v=hHOrpFeXUao
strange kind of woman;deep purple;strange kind of woman deep purple;https://www.youtube.com/watch?v=bAzjVdD06z8
runaway;del shannon;runaway del shannon;https://www.youtube.com/watch?v=0S13mP_pfEc
forever and ever;demis roussos;forever and ever demis roussos;https://www.youtube.com/watch?v=F3vCB3YBMUo
goodbye my love goodbye;demis roussos;goodbye my love goodbye demis roussos;https://www.youtube.com/watch?v=f4LKlOyC-To
my friend the wind;demis roussos;my friend the wind demis roussos;https://www.youtube.com/watch?v=z7-12iJ8xTM
my only fascination;demis roussos;my only fascination demis roussos;https://www.youtube.com/watch?v=KPzgnH1mPCo
my reason;demis roussos;my reason demis roussos;https://www.youtube.com/watch?v=5S0KHcJ4ZVc
on ecrit sur les murs;demis roussos;on ecrit sur les murs demis roussos;https://www.youtube.com/watch?v=DvJtchDEr2o
enjoy the silence;depeche mode;enjoy the silence depeche mode;https://www.youtube.com/watch?v=aGSKrC7dGcY
heaven;depeche mode;heaven depeche mode;https://www.youtube.com/watch?v=Fy7FzXLin7o
layla;derek and the dominos;layla derek and the dominos;https://www.youtube.com/watch?v=TngViNw2pOo
voyage voyage;desireless;voyage voyage desireless;https://www.youtube.com/watch?v=6PDmZnG8KsM
life;des'ree;life des'ree;https://www.youtube.com/watch?v=BKtrWU4zaaI
you gotta be;des'ree;you gotta be des'ree;https://www.youtube.com/watch?v=pO40TcKa_5U
upside down;diana ross;upside down diana ross;https://www.youtube.com/watch?v=GIAtE6ywgwA
what a difference a day makes;dinah washington;what a difference a day makes dinah washington;https://www.youtube.com/watch?v=OmBxVfQTuvI
anyone who had a heart;dionne warwick;anyone who had a heart dionne warwick;https://www.youtube.com/watch?v=qMsiGMKHJ8k
heartbreaker;dionne warwick;heartbreaker dionne warwick;https://www.youtube.com/watch?v=8VCuCm6XKeA
i'll never fall in love again;dionne warwick;i'll never fall in love again dionne warwick;https://www.youtube.com/watch?v=FzQBOBoPg04
money for nothing;dire straits;money for nothing dire straits;https://www.youtube.com/watch?v=wTP2RUD_cL0
sultans of swing;dire straits;sultans of swing dire straits;https://www.youtube.com/watch?v=0fAQhSRLQnM
walk of life;dire straits;walk of life dire straits;https://www.youtube.com/watch?v=kd9TlGDZGkI
your latest trick;dire straits;your latest trick dire straits;https://www.youtube.com/watch?v=e7ZM4mjgrFw
chihuahua;dj bobo;chihuahua dj bobo;https://www.youtube.com/watch?v=G7QME0bzZuA
there is a party;dj bobo;there is a party dj bobo;https://www.youtube.com/watch?v=nn5hCEMyE-E
cake by the ocean;dnce;cake by the ocean dnce;https://www.youtube.com/watch?v=vWaRiD5ym74
bad girls;doda;bad girls doda;https://www.youtube.com/watch?v=VSN6sd4b9NE
dzaga;doda;dzaga doda;https://www.youtube.com/watch?v=_7TtBGE9MiE
katharsis;doda;katharsis doda;https://www.youtube.com/watch?v=RakzX71UcHw
nie daj sie;doda;nie daj sie doda;https://www.youtube.com/watch?v=r6y1INYz7HE
niebezpieczna kobieta;doda;niebezpieczna kobieta doda;https://www.youtube.com/watch?v=P_2okLDAu4U
riotka;doda;riotka doda;https://www.youtube.com/watch?v=aII6a0EBknI
szansa;doda;szansa doda;https://www.youtube.com/watch?v=KBwPhW2sNdM
to jest to;doda;to jest to doda;https://www.youtube.com/watch?v=P0l3-V21mhE
xxx;doda;xxx doda;https://www.youtube.com/watch?v=d8me_9qK9uA
znak pokoju;doda;znak pokoju doda;https://www.youtube.com/watch?v=Ie2YHBKFXI4
islands in the stream;dolly parton & kenny rogers;islands in the stream dolly parton & kenny rogers;https://www.youtube.com/watch?v=UaNGtgYwSsU
ciao ciao bambina;domenico modugno;ciao ciao bambina domenico modugno;https://www.youtube.com/watch?v=ygiHfNMwpdI
la lontananza;domenico modugno;la lontananza domenico modugno;https://www.youtube.com/watch?v=_wGn7dlJYmY
nel blu dipinto di blu ;domenico modugno;nel blu dipinto di blu  domenico modugno;https://www.youtube.com/watch?v=t4IjJav7xbg
piove ;domenico modugno;piove  domenico modugno;https://www.youtube.com/watch?v=akMFz85r65Y
volare;domenico modugno;volare domenico modugno;https://www.youtube.com/watch?v=t4IjJav7xbg
american pie;don mclean;american pie don mclean;https://www.youtube.com/watch?v=7yHTpGog0IY
my cyganie;don wasyl;my cyganie don wasyl;https://www.youtube.com/watch?v=ql_OD7tU68c
ore ore;don wasyl;ore ore don wasyl;https://www.youtube.com/watch?v=ql_OD7tU68c
my slowianie;donatan i cleo;my slowianie donatan i cleo;https://www.youtube.com/watch?v=rr1DSgjhRqE
pelnia;donatan i maryla rodowicz;pelnia donatan i maryla rodowicz;https://www.youtube.com/watch?v=diaXSNeA81Y
i love you always forever;donna lewis;i love you always forever donna lewis;https://www.youtube.com/watch?v=SqdWTeXWvOg
hot stuff;donna summer;hot stuff donna summer;https://www.youtube.com/watch?v=nYMeJSehCe4
love to love you baby;donna summer;love to love you baby donna summer;https://www.youtube.com/watch?v=7ul_eiDQy68
puppy love;donny osmond;puppy love donny osmond;https://www.youtube.com/watch?v=Mkn1kFmUW5E
perhaps perhaps perhaps;doris day;perhaps perhaps perhaps doris day;https://www.youtube.com/watch?v=GUVT1NZtZPo
que sera sera;doris day;que sera sera doris day;https://www.youtube.com/watch?v=xZbKHDPPrrc
sentimental journey;doris day;sentimental journey doris day;https://www.youtube.com/watch?v=PUw125JMVFI
tea for two;doris day;tea for two doris day;https://www.youtube.com/watch?v=D0MtzQDltr0
when the boy in your arms;doris day;when the boy in your arms doris day;https://www.youtube.com/watch?v=47nImVi7UZM
szalec;dorota osinska;szalec dorota osinska;https://www.youtube.com/watch?v=DdWlOzl6Aq8
universal;dorota osinska;universal dorota osinska;https://www.youtube.com/watch?v=kS9Owfg2LkY
the captain of her heart;double;the captain of her heart double;https://www.youtube.com/watch?v=YX-Ru1XkNZc
it's my life;dr. alban;it's my life dr. alban;https://www.youtube.com/watch?v=4zHm_6AQ7CY
sing hallelujah!;dr. alban;sing hallelujah! dr. alban;https://www.youtube.com/watch?v=CWCycC0P5AM
when you're in love with a beautiful woman;dr. hook;when you're in love with a beautiful woman dr. hook;https://www.youtube.com/watch?v=uVXVO_vF2Io
my definition of a boombastic jazz style;dream warriors;my definition of a boombastic jazz style dream warriors;https://www.youtube.com/watch?v=LoE5yHMrP0A
era bella davvero;drupi;era bella davvero drupi;https://www.youtube.com/watch?v=-0Q7MVrpr8E
l' ultimo tango;drupi;l' ultimo tango drupi;https://www.youtube.com/watch?v=bfSq0gYOTt4
piccola e fragile;drupi;piccola e fragile drupi;https://www.youtube.com/watch?v=OOnyg5oLwic
provincia;drupi;provincia drupi;https://www.youtube.com/watch?v=AgM7R_DQPdQ
sambario;drupi;sambario drupi;https://www.youtube.com/watch?v=FuEQrvTP8UI
sereno e;drupi;sereno e drupi;https://www.youtube.com/watch?v=IGLPEafpBDo
vado via;drupi;vado via drupi;https://www.youtube.com/watch?v=G7EVwcT141I
hotter than hell;dua lipa;hotter than hell dua lipa;https://www.youtube.com/watch?v=fEOyePhElr4
mercy;duffy;mercy duffy;https://www.youtube.com/watch?v=y7ZEVA5dy-Y
c jam blues;duke ellington;c jam blues duke ellington;https://www.youtube.com/watch?v=gOlpcJhNyDI
caravan;duke ellington;caravan duke ellington;https://www.youtube.com/watch?v=YkLBSLxo5LE
tea for two;duke ellington;tea for two duke ellington;https://www.youtube.com/watch?v=iyUZCeiSlXE
you don't have to say you love me;dusty springfield;you don't have to say you love me dusty springfield;https://www.youtube.com/watch?v=mn0j3wUT0vs
california mon amour;dwa plus jeden;california mon amour dwa plus jeden;https://www.youtube.com/watch?v=jElOvyGn2Do
chodz pomaluj moj swiat;dwa plus jeden;chodz pomaluj moj swiat dwa plus jeden;https://www.youtube.com/watch?v=CANx5RcdPdo
czerwone sloneczko;dwa plus jeden;czerwone sloneczko dwa plus jeden;https://www.youtube.com/watch?v=CsZYRRruhW4
hej dogonie lato;dwa plus jeden;hej dogonie lato dwa plus jeden;https://www.youtube.com/watch?v=cDXZW28TVBA
isc w strone slonca;dwa plus jeden;isc w strone slonca dwa plus jeden;https://www.youtube.com/watch?v=aWQz6lrZ3Pw
kolysanka matki;dwa plus jeden;kolysanka matki dwa plus jeden;https://www.youtube.com/watch?v=D2ORnU2cau0
na luzie;dwa plus jeden;na luzie dwa plus jeden;https://www.youtube.com/watch?v=jFNfTsegAOI
nie zmogla go kula;dwa plus jeden;nie zmogla go kula dwa plus jeden;https://www.youtube.com/watch?v=2EgE-DFsXuU
odplyniesz wielkim autem;dwa plus jeden;odplyniesz wielkim autem dwa plus jeden;https://www.youtube.com/watch?v=x_385AkJM9E
wielki maly czlowiek;dwa plus jeden;wielki maly czlowiek dwa plus jeden;https://www.youtube.com/watch?v=u-rcLhgKU18
winda do nieba;dwa plus jeden;winda do nieba dwa plus jeden;https://www.youtube.com/watch?v=nbkhN7iKjcU
wstawaj szkoda dnia;dwa plus jeden;wstawaj szkoda dnia dwa plus jeden;https://www.youtube.com/watch?v=CvjHqkAdIwE
wyspa dzieci;dwa plus jeden;wyspa dzieci dwa plus jeden;https://www.youtube.com/watch?v=nl-NYVjq7H0
masz przewrocone w glowie;dzamble;masz przewrocone w glowie dzamble;https://www.youtube.com/watch?v=_Xd5EMx1zj0
czajorije;dziani;czajorije dziani;https://www.youtube.com/watch?v=Ko2vQcX8Mrc
czerwony jak cegla;dzem;czerwony jak cegla dzem;https://www.youtube.com/watch?v=eZtRqHildg8
do kolyski;dzem;do kolyski dzem;https://www.youtube.com/watch?v=vdZUK85318w
modlitwa iii - pozwol mi ;dzem;modlitwa iii - pozwol mi  dzem;https://www.youtube.com/watch?v=QfideG41r1w
naiwne pytania;dzem;naiwne pytania dzem;https://www.youtube.com/watch?v=FMxqvIF22Go
nieudany skok ;dzem;nieudany skok  dzem;https://www.youtube.com/watch?v=Q1MK2tYeJCs
poznalem go po czarnym kapeluszu;dzem;poznalem go po czarnym kapeluszu dzem;https://www.youtube.com/watch?v=S_t4TXNZPjQ
wehikul czasu;dzem;wehikul czasu dzem;https://www.youtube.com/watch?v=XWcqFbMUAb4
whisky ;dzem;whisky  dzem;https://www.youtube.com/watch?v=zfwGiieFkKo
wokol sami lunatycy;dzem;wokol sami lunatycy dzem;https://www.youtube.com/watch?v=Uqq-PDIS2Y0
save tonight;eagle-eye cherry;save tonight eagle-eye cherry;https://www.youtube.com/watch?v=Nntd2fgMUYw
hotel california;eagles;hotel california eagles;https://www.youtube.com/watch?v=EqPtz5qN7HM
after the love has gone;earth wind & fire;after the love has gone earth wind & fire;https://www.youtube.com/watch?v=CUCLNPOjPZw
boogie wonderland;earth wind & fire;boogie wonderland earth wind & fire;https://www.youtube.com/watch?v=god7hAPv8f0
fantasy;earth wind & fire;fantasy earth wind & fire;https://www.youtube.com/watch?v=r58GQYFZeLE
september;earth wind & fire;september earth wind & fire;https://www.youtube.com/watch?v=Gs069dndIYk
c'est si bon;eartha kitt;c'est si bon eartha kitt;https://www.youtube.com/watch?v=NWCo5ex40IQ
castle on the hill;ed sheeran;castle on the hill ed sheeran;https://www.youtube.com/watch?v=K0ibBPhiaG0
galway girl;ed sheeran;galway girl ed sheeran;https://www.youtube.com/watch?v=87gWaABqGYs
i see fire;ed sheeran;i see fire ed sheeran;https://www.youtube.com/watch?v=2fngvQS_PmQ
make it rain;ed sheeran;make it rain ed sheeran;https://www.youtube.com/watch?v=XfDQuw0icew
photograph;ed sheeran;photograph ed sheeran;https://www.youtube.com/watch?v=nSDgHBxUbVQ
shape of you;ed sheeran;shape of you ed sheeran;https://www.youtube.com/watch?v=JGwWNGJdvx8
thinking out loud;ed sheeran;thinking out loud ed sheeran;https://www.youtube.com/watch?v=lp-EO5I60KA
santa claus is coming to town;eddie cantor;santa claus is coming to town eddie cantor;https://www.youtube.com/watch?v=kM_eWxvLGiM
electric avenue;eddy grant;electric avenue eddy grant;https://www.youtube.com/watch?v=IuwxZSIS__4
gimme hope joanna;eddy grant;gimme hope joanna eddy grant;https://www.youtube.com/watch?v=R-ZplG81oZg
i don't wanna dance;eddy grant;i don't wanna dance eddy grant;https://www.youtube.com/watch?v=9de6jeOevi8
baby come back;eddy grant & the equals;baby come back eddy grant & the equals;https://www.youtube.com/watch?v=-apT2sspO_8
hymne à l'amour;édith piaf;hymne à l'amour édith piaf;https://www.youtube.com/watch?v=QvHph2zrMrA
la vie en rose;édith piaf;la vie en rose édith piaf;https://www.youtube.com/watch?v=kFzViYkZAz4
l'accordeoniste ;édith piaf;l'accordeoniste  édith piaf;https://www.youtube.com/watch?v=qvTg2OJfrfg
milord;édith piaf;milord édith piaf;https://www.youtube.com/watch?v=vwe3CzWZ4Bg
non je ne regrette rien;édith piaf;non je ne regrette rien édith piaf;https://www.youtube.com/watch?v=Q3Kvu6Kgp88
padam padam;édith piaf;padam padam édith piaf;https://www.youtube.com/watch?v=Kya3c4WJZAk
sous le ciel de paris ;édith piaf;sous le ciel de paris  édith piaf;https://www.youtube.com/watch?v=GKEzDfFiRBs
deszcze niespokojne;edmund fetting;deszcze niespokojne edmund fetting;https://www.youtube.com/watch?v=d4ewqTH3cYU
nim wstanie dzien;edmund fetting;nim wstanie dzien edmund fetting;https://www.youtube.com/watch?v=q7ke_xzw0Ew
o sole mio;eduardo di capua;o sole mio eduardo di capua;https://www.youtube.com/watch?v=6vjRYX1x_yk
obietnice;edward hulewicz;obietnice edward hulewicz;https://www.youtube.com/watch?v=eRkS6QGb37s
za zdrowie pan;edward hulewicz;za zdrowie pan edward hulewicz;https://www.youtube.com/watch?v=-nwrFSngsE4
jenny;edyta bartosiewicz;jenny edyta bartosiewicz;https://www.youtube.com/watch?v=-jaSOrMCbu4
milosc jak ogien;edyta bartosiewicz;milosc jak ogien edyta bartosiewicz;https://www.youtube.com/watch?v=oDhRX5XRSlQ
opowiesc;edyta bartosiewicz;opowiesc edyta bartosiewicz;https://www.youtube.com/watch?v=vWR_2zYU83s
szal;edyta bartosiewicz;szal edyta bartosiewicz;https://www.youtube.com/watch?v=UZwgnKfXMAs
tatuaz;edyta bartosiewicz;tatuaz edyta bartosiewicz;https://www.youtube.com/watch?v=6jd-azcJh3w
urodziny;edyta bartosiewicz;urodziny edyta bartosiewicz;https://www.youtube.com/watch?v=QLl3kxSVYCs
zegar;edyta bartosiewicz;zegar edyta bartosiewicz;https://www.youtube.com/watch?v=g6YkpNV_anY
idz swoja droga;edyta geppert;idz swoja droga edyta geppert;https://www.youtube.com/watch?v=narMCNe-TSo
jaka roza taki ciern;edyta geppert;jaka roza taki ciern edyta geppert;https://www.youtube.com/watch?v=U0vB1ljGyzU
nie nie zaluje;edyta geppert;nie nie zaluje edyta geppert;https://www.youtube.com/watch?v=2pdqLJj0FCo
och zycie kocham cie nad zycie;edyta geppert;och zycie kocham cie nad zycie edyta geppert;https://www.youtube.com/watch?v=UDC9nvzprMQ
szukaj mnie;edyta geppert;szukaj mnie edyta geppert;https://www.youtube.com/watch?v=jpQyuAMkSnA
zamiast;edyta geppert;zamiast edyta geppert;https://www.youtube.com/watch?v=HyO-OwHzipk
anything;edyta gorniak;anything edyta gorniak;https://www.youtube.com/watch?v=TUwe75txZpU
dom dobrych drzew;edyta gorniak;dom dobrych drzew edyta gorniak;https://www.youtube.com/watch?v=fEgwUTwP4O4
dotyk;edyta gorniak;dotyk edyta gorniak;https://www.youtube.com/watch?v=Ks4D4mLLiPI
dziekuje ci;edyta gorniak;dziekuje ci edyta gorniak;https://www.youtube.com/watch?v=1Cl2s2ozqo8
glow on ;edyta gorniak;glow on  edyta gorniak;https://www.youtube.com/watch?v=RS60146yrak
impossible;edyta gorniak;impossible edyta gorniak;https://www.youtube.com/watch?v=ryTYnZf82yc
jak najdalej;edyta gorniak;jak najdalej edyta gorniak;https://www.youtube.com/watch?v=EwZGYMA46k8
jestem kobieta;edyta gorniak;jestem kobieta edyta gorniak;https://www.youtube.com/watch?v=8lKZahL0vfo
litania;edyta gorniak;litania edyta gorniak;https://www.youtube.com/watch?v=c-nZIDQVwqs
nie prosze o wiecej;edyta gorniak;nie prosze o wiecej edyta gorniak;https://www.youtube.com/watch?v=mtEMLqL0F7Q
nie zapomnij;edyta gorniak;nie zapomnij edyta gorniak;https://www.youtube.com/watch?v=W4dIEvWhFHw
niebo to my;edyta gorniak;niebo to my edyta gorniak;https://www.youtube.com/watch?v=mqMUv8QQJPw
niebo to my ;edyta gorniak;niebo to my  edyta gorniak;https://www.youtube.com/watch?v=mqMUv8QQJPw
one & one;edyta gorniak;one & one edyta gorniak;https://www.youtube.com/watch?v=WM8bTdBs-cw
teraz - tu;edyta gorniak;teraz - tu edyta gorniak;https://www.youtube.com/watch?v=jR6udHTC5BE
teraz-tu;edyta gorniak;teraz-tu edyta gorniak;https://www.youtube.com/watch?v=jR6udHTC5BE
the day i get over you;edyta gorniak;the day i get over you edyta gorniak;https://www.youtube.com/watch?v=jiPjmAtSN-4
to nie ja;edyta gorniak;to nie ja edyta gorniak;https://www.youtube.com/watch?v=PL5rmmpiHp8
to nie tak jak myslisz;edyta gorniak;to nie tak jak myslisz edyta gorniak;https://www.youtube.com/watch?v=ZoAv6HOSuhI
when you come back to me;edyta gorniak;when you come back to me edyta gorniak;https://www.youtube.com/watch?v=IeugxeVnePA
your high;edyta gorniak;your high edyta gorniak;https://www.youtube.com/watch?v=h-a8K7JJca4
hope for us;edyta gorniak i jose carreras;hope for us edyta gorniak i jose carreras;https://www.youtube.com/watch?v=jSwHySp8GLc
pada snieg;edyta gorniak i krzysztof antkowiak;pada snieg edyta gorniak i krzysztof antkowiak;https://www.youtube.com/watch?v=Tu6PhXdH2ms
dumka na dwa serca;edyta gorniak i mieczyslaw szczesniak;dumka na dwa serca edyta gorniak i mieczyslaw szczesniak;https://www.youtube.com/watch?v=wcXAKhwsl6o
nie chce juz nic;edyta strzycka;nie chce juz nic edyta strzycka;https://www.youtube.com/watch?v=Lg7d3XgNwho
poznaj siebie;edyta strzycka;poznaj siebie edyta strzycka;https://www.youtube.com/watch?v=m_n9C4M1TDk
hurricane;elaiza;hurricane elaiza;https://www.youtube.com/watch?v=j06ezNEIcOA
i don't love you;elaiza;i don't love you elaiza;https://www.youtube.com/watch?v=GTN7QoaaoCU
is it right;elaiza;is it right elaiza;https://www.youtube.com/watch?v=UW4KQqcH1E4
confusion;electric light orchestra;confusion electric light orchestra;https://www.youtube.com/watch?v=1jUvhJ_Tgzw
don't bring me down;electric light orchestra;don't bring me down electric light orchestra;https://www.youtube.com/watch?v=qj8kMmUxkSE
evil woman;electric light orchestra;evil woman electric light orchestra;https://www.youtube.com/watch?v=R20f-TPKjzc
hold on tight;electric light orchestra;hold on tight electric light orchestra;https://www.youtube.com/watch?v=UkekqVPIc2M
last train to london;electric light orchestra;last train to london electric light orchestra;https://www.youtube.com/watch?v=Up4WjdabA2c
rock and roll is king;electric light orchestra;rock and roll is king electric light orchestra;https://www.youtube.com/watch?v=21VeAmPOBzI
ticket to the moon;electric light orchestra;ticket to the moon electric light orchestra;https://www.youtube.com/watch?v=ZXBiPY8wDT0
xanadu;electric light orchestra & olivia newton-john;xanadu electric light orchestra & olivia newton-john;https://www.youtube.com/watch?v=4siEWXsZBHM
co powie ryba;elektryczne gitary;co powie ryba elektryczne gitary;https://www.youtube.com/watch?v=95Hl-0I1WdE
co ty tutaj robisz;elektryczne gitary;co ty tutaj robisz elektryczne gitary;https://www.youtube.com/watch?v=ZkdvU7nPM5Q
czlowiek z lisciem ;elektryczne gitary;czlowiek z lisciem  elektryczne gitary;https://www.youtube.com/watch?v=pt3g8HPwDSc
jestem z miasta;elektryczne gitary;jestem z miasta elektryczne gitary;https://www.youtube.com/watch?v=a_I94dWg0p0
kiler;elektryczne gitary;kiler elektryczne gitary;https://www.youtube.com/watch?v=leYyu4wH4dQ
killer;elektryczne gitary;killer elektryczne gitary;https://www.youtube.com/watch?v=leYyu4wH4dQ
marymoncki dzon;elektryczne gitary;marymoncki dzon elektryczne gitary;https://www.youtube.com/watch?v=eN5q-t80H58
matura;elektryczne gitary;matura elektryczne gitary;https://www.youtube.com/watch?v=8g7la8uqfRU
nic mnie nie rusza;elektryczne gitary;nic mnie nie rusza elektryczne gitary;https://www.youtube.com/watch?v=2zN4TU9au60
wiele razy;elektryczne gitary;wiele razy elektryczne gitary;https://www.youtube.com/watch?v=NQ56v5ZGnVg
wlosy;elektryczne gitary;wlosy elektryczne gitary;https://www.youtube.com/watch?v=mNW8pNRtjRU
wild child;elen levon;wild child elen levon;https://www.youtube.com/watch?v=beJYUvSuKfs
body song;elena;body song elena;https://www.youtube.com/watch?v=ExKh5mpyyHY
mamma mia;elena;mamma mia elena;https://www.youtube.com/watch?v=g4yGIsmBfIE
mamma mia (he's italiano);elena gheorghe;mamma mia (he's italiano) elena gheorghe;https://www.youtube.com/watch?v=iLZR7tihHbk
senor loco;elena gheorghe & danny mazo;senor loco elena gheorghe & danny mazo;https://www.youtube.com/watch?v=lQPCWp2A_Rk
ballado hej!;eleni;ballado hej! eleni;https://www.youtube.com/watch?v=yzKyYzroWRE
milosc jak wino;eleni;milosc jak wino eleni;https://www.youtube.com/watch?v=4_qtBQ6VtVc
nic milosci nie pokona;eleni;nic milosci nie pokona eleni;https://www.youtube.com/watch?v=VZwe5DVCSfk
niech lato spelni sny;eleni;niech lato spelni sny eleni;https://www.youtube.com/watch?v=VWEcH3M0QnE
po slonecznej stronie zycia;eleni;po slonecznej stronie zycia eleni;https://www.youtube.com/watch?v=MTPIvz_G68o
troszeczke ziemi troszeczke slonca;eleni;troszeczke ziemi troszeczke slonca eleni;https://www.youtube.com/watch?v=Ffdujgx6FEo
tylko w twoich dloniach;eleni;tylko w twoich dloniach eleni;https://www.youtube.com/watch?v=ZXuSaWz7hlo
zorba;eleni;zorba eleni;https://www.youtube.com/watch?v=IajcppxCGlA
skinny genes;eliza doolittle;skinny genes eliza doolittle;https://www.youtube.com/watch?v=qxqtnWwLxYI
manhattan;ella fitzgerald;manhattan ella fitzgerald;https://www.youtube.com/watch?v=YJsa0OfWcGA
night and day;ella fitzgerald;night and day ella fitzgerald;https://www.youtube.com/watch?v=PEM_63_P0CY
summertime;ella fitzgerald;summertime ella fitzgerald;https://www.youtube.com/watch?v=lnXLVTi_m_M
these foolish things;ella fitzgerald;these foolish things ella fitzgerald;https://www.youtube.com/watch?v=mshV7ug8cdE
burn;ellie goulding;burn ellie goulding;https://www.youtube.com/watch?v=CGyEd0aKWZE
love me like you do ;ellie goulding;love me like you do  ellie goulding;https://www.youtube.com/watch?v=AJtDXIazrMo
la malaguena;elpidio ramirez;la malaguena elpidio ramirez;https://www.youtube.com/watch?v=TBcme7NGWoM
blue eyes;elton john;blue eyes elton john;https://www.youtube.com/watch?v=4CiyKeSnSxk
can you feel the love tonight;elton john;can you feel the love tonight elton john;https://www.youtube.com/watch?v=KjgWWjkNbhU
candle in the wind;elton john;candle in the wind elton john;https://www.youtube.com/watch?v=1o9rLDCfO6o
crocodile rock;elton john;crocodile rock elton john;https://www.youtube.com/watch?v=xw0EozkBWuI
daniel ;elton john;daniel  elton john;https://www.youtube.com/watch?v=UA78e27R_J4
i'm still standing;elton john;i'm still standing elton john;https://www.youtube.com/watch?v=ZHwVBirqD2s
nikita;elton john;nikita elton john;https://www.youtube.com/watch?v=Tg-Q-Acv4qs
sacrifice;elton john;sacrifice elton john;https://www.youtube.com/watch?v=NrLkTZrPZA4
song for guy;elton john;song for guy elton john;https://www.youtube.com/watch?v=CFSlSCjzV_U
if you were me;elton john & chris rea;if you were me elton john & chris rea;https://www.youtube.com/watch?v=rx0r_O2FYxI
all shook up;elvis presley;all shook up elvis presley;https://www.youtube.com/watch?v=23zLefwiii4
always on my mind;elvis presley;always on my mind elvis presley;https://www.youtube.com/watch?v=u9sRJ-eOHnc
amazing grace;elvis presley;amazing grace elvis presley;https://www.youtube.com/watch?v=B3XdXEJEI4E
are you lonesome tonight;elvis presley;are you lonesome tonight elvis presley;https://www.youtube.com/watch?v=9XVdtX7uSnk
blue moon;elvis presley;blue moon elvis presley;https://www.youtube.com/watch?v=MiY5auB3OWg
blue suede shoes;elvis presley;blue suede shoes elvis presley;https://www.youtube.com/watch?v=Bm5HKlQ6nGM
can't help falling in love ;elvis presley;can't help falling in love  elvis presley;https://www.youtube.com/watch?v=vGJTaP6anOU
crying in the chapel;elvis presley;crying in the chapel elvis presley;https://www.youtube.com/watch?v=CYOUcV7nlN8
don't be cruel ;elvis presley;don't be cruel  elvis presley;https://www.youtube.com/watch?v=ViMF510wqWA
fever;elvis presley;fever elvis presley;https://www.youtube.com/watch?v=OSeyfWTLnWg
good luck charm;elvis presley;good luck charm elvis presley;https://www.youtube.com/watch?v=Z0gx4kPDW0w
heartbreak hotel;elvis presley;heartbreak hotel elvis presley;https://www.youtube.com/watch?v=e9BLw4W5KU8
hound dog;elvis presley;hound dog elvis presley;https://www.youtube.com/watch?v=-eHJ12Vhpyc
it's now or never / o sole mio;elvis presley;it's now or never / o sole mio elvis presley;https://www.youtube.com/watch?v=tTZ66l8aRlY
jailhouse rock;elvis presley;jailhouse rock elvis presley;https://www.youtube.com/watch?v=gj0Rz-uP4Mk
